stop_id,latitude,longitude
101000262,37.5668848609,126.9679802656
101000263,37.5553416320,126.9732317300
101000264,37.5608462911,126.9769187336
101000266,37.5563677408,126.9765671680
101000265,37.5566267411,126.9767113404
101000290,37.5662122834,126.9768355729
101000292,37.5650839621,126.9878661120
101000293,37.5601745008,127.0025921056
101000328,37.5574051765,126.9921666231
101000331,37.5597400000,126.9892890000
101900010,37.5533046573,127.0117056370
101900009,37.5687339805,126.9768830660
101900011,37.5660310000,126.9770100000
101900012,37.5588500000,126.9712780000
101900007,37.5615164368,126.9762361050
101900006,37.5673960903,126.9773390750
101900005,37.5654231103,127.0215878668
101900004,37.5597925744,126.9711136524
101900003,37.5609334062,126.9679526472
101900001,37.5535217011,127.0169189818
101900023,37.5495860191,127.0124097890
101900022,37.5496119425,127.0122783521
101900021,37.5516549062,127.0127511620
101900020,37.5519027425,127.0121655599
101900019,37.5517332168,127.0108500123
101900018,37.5528410964,127.0119577646
101000173,37.5614284556,126.9793973110
101000277,37.5658047183,126.9803053067
101000298,37.5645178283,126.9796461336
101000301,37.5653520000,126.9788850000
101000275,37.5684013914,126.9769074500
101000276,37.5633387369,126.9743182567
101000273,37.5597717116,127.0026102024
101000226,37.5687990002,126.9769067873
101000227,37.5662540000,126.9769210000
101000229,37.5651089852,126.9676372948
101000230,37.5578195556,126.9728595843
101000234,37.5610860085,126.9864492986
101000244,37.5617180187,126.9955605031
101000245,37.5609673780,126.9787309255
101000246,37.5643534324,126.9823877131
101000247,37.5628476779,126.9692683016
101000257,37.5665506121,127.0034786985
101000256,37.5662333554,127.0053974501
101000255,37.5645913489,127.0089472544
101000271,37.5537889625,127.0098978294
101000270,37.5554665731,126.9759752961
101000269,37.5580158041,126.9720456834
101000268,37.5606109591,126.9720684843
101000279,37.5648360000,126.9780660000
101000286,37.5682993160,126.9773647244
101000288,37.5613760047,126.9762665716
101000287,37.5610667807,126.9755365701
101000289,37.5653851887,127.0092450660
101000297,37.5647333277,127.0075552593
101000296,37.5678529085,127.0092138390
101000299,37.5649993215,127.0026364414
101000316,37.5689435666,126.9768853297
101000317,37.5661060000,126.9769250000
101000318,37.5609231539,126.9753967375
101000319,37.5607583289,126.9856194882
101000320,37.5609950561,126.9924383581
101000321,37.5604635042,127.0026253879
101000322,37.5583034007,127.0054272005
101000324,37.5668754028,127.0085549376
102000322,37.5539280000,126.9725350000
101000308,37.5677625606,127.0091304267
101000309,37.5668568761,126.9994422877
101000310,37.5665349097,126.9923255915
101000311,37.5661309607,126.9810013050
101000312,37.5641526235,126.9823015539
101000314,37.5657553187,127.0194166277
101000315,37.5581940477,126.9831348601
102000001,37.5240499441,126.9631209528
102000002,37.5243060629,126.9631848403
102000003,37.5272930000,126.9662070000
102000004,37.5279204890,126.9666192358
102000005,37.5314970129,126.9702350163
102000006,37.5320503694,126.9705640624
102000007,37.5351801399,126.9736858311
102000008,37.5359845015,126.9741608708
102000009,37.5432956330,126.9725377982
102000010,37.5437560216,126.9722320769
102000011,37.5509755993,126.9722373211
102000012,37.5495337218,126.9717081909
102000018,37.5420069220,126.9719271804
102000019,37.5418230000,126.9720690000
102000026,37.5288895698,126.9673497525
102000317,37.5321566887,126.9630603924
102000318,37.5318079061,126.9642145682
102000029,37.5249689864,126.9635707140
102000030,37.5524743044,126.9693404702
102000031,37.5516704971,126.9692219610
102000032,37.5489916168,126.9701219815
102000033,37.5486790270,126.9698626298
102000034,37.5453812474,126.9707772395
102000035,37.5454861572,126.9704188578
102000036,37.5408130000,126.9710320000
102000037,37.5405702704,126.9706761392
102000038,37.5337792589,126.9660271002
102000039,37.5335134935,126.9657072039
102000040,37.5332725045,126.9619640523
102000041,37.5330574076,126.9621689745
102000042,37.5327790559,126.9583252146
102000043,37.5330561177,126.9583363743
102000044,37.5319853728,126.9561109820
102000045,37.5405032098,126.9691858135
